algorithm,iterations,global
GAHighPop,1,2549.3166471116265
GAHighPop,1,2549.3166471116265
GAHighPop,1,2549.3166471116265
GAHighPop,1,2549.3166471116265
GAHighPop,1,2549.3166471116265
GAHighPop,1,2549.3166471116265
GAHighPop,1,2549.3166471116265
GAHighPop,1,2549.3166471116265
GAHighPop,1,2549.3166471116265
GAHighPop,1,2549.3166471116265
GAHighPop,50,2549.3166471116265
GAHighPop,50,2549.3166471116265
GAHighPop,50,2549.3166471116265
GAHighPop,50,2549.3166471116265
GAHighPop,50,2549.3166471116265
GAHighPop,50,2549.3166471116265
GAHighPop,50,2549.3166471116265
GAHighPop,50,2549.3166471116265
GAHighPop,50,2549.3166471116265
GAHighPop,50,2549.3166471116265
GAHighPop,100,2549.3166471116265
GAHighPop,100,2549.3166471116265
GAHighPop,100,2549.3166471116265
GAHighPop,100,2549.3166471116265
GAHighPop,100,2549.3166471116265
GAHighPop,100,2549.3166471116265
GAHighPop,100,2549.3166471116265
GAHighPop,100,2549.3166471116265
GAHighPop,100,2549.3166471116265
GAHighPop,100,2549.3166471116265
GAHighPop,150,2549.3166471116265
GAHighPop,150,2549.3166471116265
GAHighPop,150,2549.3166471116265
GAHighPop,150,2549.3166471116265
GAHighPop,150,2549.3166471116265
GAHighPop,150,2549.3166471116265
GAHighPop,150,2549.3166471116265
GAHighPop,150,2549.3166471116265
GAHighPop,150,2549.3166471116265
GAHighPop,150,2549.3166471116265
GAHighPop,200,2549.3166471116265
GAHighPop,200,2549.3166471116265
GAHighPop,200,2549.3166471116265
GAHighPop,200,2549.3166471116265
GAHighPop,200,2549.3166471116265
GAHighPop,200,2549.3166471116265
GAHighPop,200,2549.3166471116265
GAHighPop,200,2549.3166471116265
GAHighPop,200,2549.3166471116265
GAHighPop,200,2549.3166471116265
GAHighPop,300,2549.3166471116265
GAHighPop,300,2549.3166471116265
GAHighPop,300,2549.3166471116265
GAHighPop,300,2549.3166471116265
GAHighPop,300,2549.3166471116265
GAHighPop,300,2549.3166471116265
GAHighPop,300,2549.3166471116265
GAHighPop,300,2549.3166471116265
GAHighPop,300,2549.3166471116265
GAHighPop,300,2549.3166471116265
GAHighPop,400,2549.3166471116265
GAHighPop,400,2549.3166471116265
GAHighPop,400,2549.3166471116265
GAHighPop,400,2549.3166471116265
GAHighPop,400,2549.3166471116265
GAHighPop,400,2549.3166471116265
GAHighPop,400,2549.3166471116265
GAHighPop,400,2549.3166471116265
GAHighPop,400,2549.3166471116265
GAHighPop,400,2549.3166471116265
GAHighPop,500,2549.3166471116265
GAHighPop,500,2549.3166471116265
GAHighPop,500,2549.3166471116265
GAHighPop,500,2549.3166471116265
GAHighPop,500,2549.3166471116265
GAHighPop,500,2549.3166471116265
GAHighPop,500,2549.3166471116265
GAHighPop,500,2549.3166471116265
GAHighPop,500,2549.3166471116265
GAHighPop,500,2549.3166471116265
GAHighPop,600,2549.3166471116265
GAHighPop,600,2549.3166471116265
GAHighPop,600,2549.3166471116265
GAHighPop,600,2549.3166471116265
GAHighPop,600,2549.3166471116265
GAHighPop,600,2549.3166471116265
GAHighPop,600,2549.3166471116265
GAHighPop,600,2549.3166471116265
GAHighPop,600,2549.3166471116265
GAHighPop,600,2549.3166471116265
GAHighPop,700,2549.3166471116265
GAHighPop,700,2549.3166471116265
GAHighPop,700,2549.3166471116265
GAHighPop,700,2549.3166471116265
GAHighPop,700,2549.3166471116265
GAHighPop,700,2549.3166471116265
GAHighPop,700,2549.3166471116265
GAHighPop,700,2549.3166471116265
GAHighPop,700,2549.3166471116265
GAHighPop,700,2549.3166471116265
GAHighPop,800,2549.3166471116265
GAHighPop,800,2549.3166471116265
GAHighPop,800,2549.3166471116265
GAHighPop,800,2549.3166471116265
GAHighPop,800,2549.3166471116265
GAHighPop,800,2549.3166471116265
GAHighPop,800,2549.3166471116265
GAHighPop,800,2549.3166471116265
GAHighPop,800,2549.3166471116265
GAHighPop,800,2549.3166471116265
GAHighPop,900,2549.3166471116265
GAHighPop,900,2549.3166471116265
GAHighPop,900,2549.3166471116265
GAHighPop,900,2549.3166471116265
GAHighPop,900,2549.3166471116265
GAHighPop,900,2549.3166471116265
GAHighPop,900,2549.3166471116265
GAHighPop,900,2549.3166471116265
GAHighPop,900,2549.3166471116265
GAHighPop,900,2549.3166471116265
GAHighPop,1000,2549.3166471116265
GAHighPop,1000,2549.3166471116265
GAHighPop,1000,2549.3166471116265
GAHighPop,1000,2549.3166471116265
GAHighPop,1000,2549.3166471116265
GAHighPop,1000,2549.3166471116265
GAHighPop,1000,2549.3166471116265
GAHighPop,1000,2549.3166471116265
GAHighPop,1000,2549.3166471116265
GAHighPop,1000,2549.3166471116265
GALowPop,1,2352.9796457366506
GALowPop,1,2352.9796457366506
GALowPop,1,2352.9796457366506
GALowPop,1,2352.9796457366506
GALowPop,1,2352.9796457366506
GALowPop,1,2352.9796457366506
GALowPop,1,2352.9796457366506
GALowPop,1,2352.9796457366506
GALowPop,1,2352.9796457366506
GALowPop,1,2352.9796457366506
GALowPop,50,2352.9796457366506
GALowPop,50,2352.9796457366506
GALowPop,50,2352.9796457366506
GALowPop,50,2352.9796457366506
GALowPop,50,2352.9796457366506
GALowPop,50,2352.9796457366506
GALowPop,50,2352.9796457366506
GALowPop,50,2352.9796457366506
GALowPop,50,2352.9796457366506
GALowPop,50,2352.9796457366506
GALowPop,100,2352.9796457366506
GALowPop,100,2352.9796457366506
GALowPop,100,2352.9796457366506
GALowPop,100,2352.9796457366506
GALowPop,100,2352.9796457366506
GALowPop,100,2352.9796457366506
GALowPop,100,2352.9796457366506
GALowPop,100,2352.9796457366506
GALowPop,100,2352.9796457366506
GALowPop,100,2352.9796457366506
GALowPop,150,2352.9796457366506
GALowPop,150,2352.9796457366506
GALowPop,150,2352.9796457366506
GALowPop,150,2352.9796457366506
GALowPop,150,2352.9796457366506
GALowPop,150,2352.9796457366506
GALowPop,150,2352.9796457366506
GALowPop,150,2352.9796457366506
GALowPop,150,2352.9796457366506
GALowPop,150,2352.9796457366506
GALowPop,200,2352.9796457366506
GALowPop,200,2352.9796457366506
GALowPop,200,2352.9796457366506
GALowPop,200,2352.9796457366506
GALowPop,200,2352.9796457366506
GALowPop,200,2352.9796457366506
GALowPop,200,2352.9796457366506
GALowPop,200,2352.9796457366506
GALowPop,200,2352.9796457366506
GALowPop,200,2352.9796457366506
GALowPop,300,2352.9796457366506
GALowPop,300,2352.9796457366506
GALowPop,300,2352.9796457366506
GALowPop,300,2352.9796457366506
GALowPop,300,2352.9796457366506
GALowPop,300,2352.9796457366506
GALowPop,300,2352.9796457366506
GALowPop,300,2352.9796457366506
GALowPop,300,2352.9796457366506
GALowPop,300,2352.9796457366506
GALowPop,400,2352.9796457366506
GALowPop,400,2352.9796457366506
GALowPop,400,2352.9796457366506
GALowPop,400,2352.9796457366506
GALowPop,400,2352.9796457366506
GALowPop,400,2352.9796457366506
GALowPop,400,2352.9796457366506
GALowPop,400,2352.9796457366506
GALowPop,400,2352.9796457366506
GALowPop,400,2352.9796457366506
GALowPop,500,2352.9796457366506
GALowPop,500,2352.9796457366506
GALowPop,500,2352.9796457366506
GALowPop,500,2352.9796457366506
GALowPop,500,2352.9796457366506
GALowPop,500,2352.9796457366506
GALowPop,500,2352.9796457366506
GALowPop,500,2352.9796457366506
GALowPop,500,2352.9796457366506
GALowPop,500,2352.9796457366506
GALowPop,600,2352.9796457366506
GALowPop,600,2352.9796457366506
GALowPop,600,2352.9796457366506
GALowPop,600,2352.9796457366506
GALowPop,600,2352.9796457366506
GALowPop,600,2352.9796457366506
GALowPop,600,2352.9796457366506
GALowPop,600,2352.9796457366506
GALowPop,600,2352.9796457366506
GALowPop,600,2352.9796457366506
GALowPop,700,2352.9796457366506
GALowPop,700,2352.9796457366506
GALowPop,700,2352.9796457366506
GALowPop,700,2352.9796457366506
GALowPop,700,2352.9796457366506
GALowPop,700,2352.9796457366506
GALowPop,700,2352.9796457366506
GALowPop,700,2352.9796457366506
GALowPop,700,2352.9796457366506
GALowPop,700,2352.9796457366506
GALowPop,800,2352.9796457366506
GALowPop,800,2352.9796457366506
GALowPop,800,2352.9796457366506
GALowPop,800,2352.9796457366506
GALowPop,800,2352.9796457366506
GALowPop,800,2352.9796457366506
GALowPop,800,2352.9796457366506
GALowPop,800,2352.9796457366506
GALowPop,800,2352.9796457366506
GALowPop,800,2352.9796457366506
GALowPop,900,2352.9796457366506
GALowPop,900,2352.9796457366506
GALowPop,900,2352.9796457366506
GALowPop,900,2352.9796457366506
GALowPop,900,2352.9796457366506
GALowPop,900,2352.9796457366506
GALowPop,900,2352.9796457366506
GALowPop,900,2352.9796457366506
GALowPop,900,2352.9796457366506
GALowPop,900,2352.9796457366506
GALowPop,1000,2352.9796457366506
GALowPop,1000,2352.9796457366506
GALowPop,1000,2352.9796457366506
GALowPop,1000,2352.9796457366506
GALowPop,1000,2352.9796457366506
GALowPop,1000,2352.9796457366506
GALowPop,1000,2352.9796457366506
GALowPop,1000,2352.9796457366506
GALowPop,1000,2352.9796457366506
GALowPop,1000,2352.9796457366506
RHC,1,2536.0739204784722
RHC,1,2536.0739204784722
RHC,1,2536.0739204784722
RHC,1,2536.0739204784722
RHC,1,2536.0739204784722
RHC,1,2536.0739204784722
RHC,1,2536.0739204784722
RHC,1,2536.0739204784722
RHC,1,2536.0739204784722
RHC,1,2536.0739204784722
RHC,50,2536.0739204784722
RHC,50,2536.0739204784722
RHC,50,2536.0739204784722
RHC,50,2536.0739204784722
RHC,50,2536.0739204784722
RHC,50,2536.0739204784722
RHC,50,2536.0739204784722
RHC,50,2536.0739204784722
RHC,50,2536.0739204784722
RHC,50,2536.0739204784722
RHC,100,2536.0739204784722
RHC,100,2536.0739204784722
RHC,100,2536.0739204784722
RHC,100,2536.0739204784722
RHC,100,2536.0739204784722
RHC,100,2536.0739204784722
RHC,100,2536.0739204784722
RHC,100,2536.0739204784722
RHC,100,2536.0739204784722
RHC,100,2536.0739204784722
RHC,150,2536.0739204784722
RHC,150,2536.0739204784722
RHC,150,2536.0739204784722
RHC,150,2536.0739204784722
RHC,150,2536.0739204784722
RHC,150,2536.0739204784722
RHC,150,2536.0739204784722
RHC,150,2536.0739204784722
RHC,150,2536.0739204784722
RHC,150,2536.0739204784722
RHC,200,2536.0739204784722
RHC,200,2536.0739204784722
RHC,200,2536.0739204784722
RHC,200,2536.0739204784722
RHC,200,2536.0739204784722
RHC,200,2536.0739204784722
RHC,200,2536.0739204784722
RHC,200,2536.0739204784722
RHC,200,2536.0739204784722
RHC,200,2536.0739204784722
RHC,300,2536.0739204784722
RHC,300,2536.0739204784722
RHC,300,2536.0739204784722
RHC,300,2536.0739204784722
RHC,300,2536.0739204784722
RHC,300,2536.0739204784722
RHC,300,2536.0739204784722
RHC,300,2536.0739204784722
RHC,300,2536.0739204784722
RHC,300,2536.0739204784722
RHC,400,2536.0739204784722
RHC,400,2536.0739204784722
RHC,400,2536.0739204784722
RHC,400,2536.0739204784722
RHC,400,2536.0739204784722
RHC,400,2536.0739204784722
RHC,400,2536.0739204784722
RHC,400,2536.0739204784722
RHC,400,2536.0739204784722
RHC,400,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,500,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,1,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,50,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,100,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,150,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,200,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,300,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,400,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,500,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,600,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,700,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,800,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,900,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
SA55,1000,2545.7818031424817
